ts,vram_used_mib,gpu_temp_c,gpu_power_w,engine_rss_mib,mem_available_mib,swap_used_mib
1788549389,73116,47,219.27,41248,17402,4074
1788549394,73116,45,82.93,41248,16931,4075
1788549399,73116,45,83.46,41248,16746,4075
1788549404,73116,44,83.79,41248,16376,4074
1788549409,73212,47,168.36,41255,15641,4074
1788549414,73212,49,209.24,41259,15629,4074
1788549419,73224,53,345.65,41271,15630,4074
1788549424,73224,54,346.80,41606,15299,4074
1788549429,73224,56,350.41,41606,15298,4074
1788549434,73224,48,93.72,41604,16969,4074
1788549439,73224,47,84.68,41604,17036,4074
1788549444,73224,47,84.32,41604,16726,4074
1788549449,73224,45,52.25,41604,16514,4078
1788549454,73224,44,15.07,41604,16282,4077
1788549460,73224,43,15.36,41604,15829,4077
1788549465,73224,52,309.20,41606,15062,4077
1788549470,73224,54,349.31,41606,15115,4077
1788549475,73224,55,349.41,41606,15218,4077
1788549480,73224,47,85.45,41604,16988,4077
1788549485,73224,47,84.89,41604,17009,4077
1788549490,73224,46,84.49,41604,16662,4077
1788549495,73224,45,50.98,41604,16461,4077
1788549500,73224,43,15.12,41604,16105,4077
1788549505,73224,43,15.11,41604,14597,4077
1788549510,73224,52,344.85,41607,15131,4077
1788549515,73224,54,347.41,41606,15218,4077
1788549520,73224,50,293.24,41604,15349,4077
1788549525,73224,47,84.32,41604,16997,4077
1788549530,73224,46,83.83,41604,17012,4077
1788549535,73224,46,83.27,41604,16603,4077
1788549541,73224,44,20.65,41604,16423,4077
1788549546,73224,43,15.71,41604,16035,4077
1788549551,73224,42,14.95,41604,14826,4077
1788549556,73224,48,184.11,41608,15110,4077
1788549561,73224,48,193.96,41608,15227,4077
1788549566,73506,57,429.64,41623,15292,4077
1788549571,73506,59,442.68,41735,15250,4077
1788549576,73506,61,426.82,42067,14416,4077
1788549581,73506,62,446.77,42290,14028,4077
1788549586,73506,62,391.01,42513,14446,4077
1788549591,73506,53,105.26,42510,16128,4077
1788549596,73506,51,88.13,42510,16129,4077
1788549601,73506,50,87.00,42510,16084,4077
1788549606,73506,49,63.67,42510,15642,4077
1788549611,73506,47,15.59,42510,15411,4077
1788549616,73506,46,15.58,42510,14852,4077
1788549621,73506,56,305.14,42513,14288,4077
1788549627,73506,59,445.57,42513,14362,4077
1788549632,73506,61,449.45,42514,14365,4078
1788549637,73506,63,433.48,42514,14442,4078
1788549642,73506,63,411.15,42514,14484,4078
1788549647,73506,56,204.12,42511,14619,4078
1788549652,73506,53,89.25,42511,16154,4078
1788549657,73506,52,88.24,42511,16190,4078
1788549662,73506,50,87.46,42511,15732,4078
1788549667,73506,48,38.68,42511,15460,4078
1788549672,73506,47,15.80,42511,15105,4078
1788549677,73506,54,59.10,42513,14237,4078
1788549682,73506,59,443.22,42514,14343,4078
1788549687,73506,61,445.61,42514,14407,4078
1788549692,73506,63,446.58,42514,14439,4078
1788549697,73506,64,451.74,42514,14476,4078
1788549702,73506,63,393.00,42514,14518,4078
1788549707,73506,54,97.68,42511,16132,4078
1788549713,73506,52,88.16,42511,16112,4078
1788549718,73506,51,87.51,42511,15768,4078
1788549723,73506,49,75.68,42511,15555,4078
1788549728,73506,48,17.52,42511,15313,4078
1788549733,73506,46,15.72,42511,13858,4078
1788549738,74274,52,380.15,42790,14067,4078
1788549743,74276,60,393.07,42910,14022,4078
1788549748,74372,65,407.62,43219,13737,4078
1788549753,74372,60,343.64,43423,13524,4078
1788549758,74436,54,142.21,43643,13435,4078
1788549763,74436,52,87.95,43643,15013,4078
1788549768,74436,50,87.51,43643,15028,4078
1788549773,74436,49,85.84,43643,14572,4078
1788549778,74436,47,22.03,43643,14381,4078
1788549783,74436,46,15.60,43643,13810,4078
1788549788,74436,48,200.43,43643,13100,4078
1788549793,74436,55,339.17,43645,13178,4078
1788549799,74436,56,339.39,43645,13210,4078
1788549804,74436,51,115.56,43643,14108,4078
1788549809,74436,49,85.90,43643,14954,4078
1788549814,74436,48,85.62,43643,14962,4078
1788549819,74436,47,66.44,43643,14565,4078
1788549824,74436,45,15.37,43643,14376,4078
1788549829,74436,44,15.19,43643,13868,4078
1788549834,74436,46,105.97,43647,13148,4078
1788549839,74436,54,335.35,43646,13206,4078
1788549844,74436,55,336.45,43646,13262,4078
1788549849,74436,49,102.65,43643,14982,4078
1788549854,74436,48,85.59,43643,15022,4078
1788549859,74436,47,85.29,43643,14849,4078
1788549864,74436,46,76.86,43643,14575,4078
1788549869,74436,44,17.77,43643,14316,4078
1788549874,74436,44,16.62,43643,13518,4078
1788549880,74436,54,164.07,43647,13145,4078
1788549885,74436,61,429.36,43692,13155,4078
1788549890,74436,59,438.55,43876,13040,4078
1788549895,74438,61,416.76,44321,12609,4078
1788549900,74438,63,446.10,44655,12265,4078
1788549905,74438,64,431.25,45211,11684,4078
1788549910,74438,70,507.04,45451,11436,4078
1788549915,74438,65,399.51,45435,11420,4078
1788549920,74438,55,99.59,45323,13282,4078
1788549925,74438,54,89.51,45323,13328,4078
1788549930,74438,52,88.78,45323,13019,4078
1788549935,74438,50,63.99,45323,12802,4078
1788549940,74438,48,16.19,45323,12562,4078
1788549945,74438,47,15.64,45323,11664,4078
1788549950,74438,58,440.68,45342,11402,4078
1788549955,74438,61,432.08,45359,11543,4078
1788549960,74438,62,431.09,45364,11579,4078
1788549966,74438,64,435.14,45370,11632,4078
1788549971,74438,65,433.47,45375,11643,4078
1788549976,74438,64,364.94,45375,11645,4078
1788549981,74438,54,90.34,45323,13356,4078
1788549986,74438,53,88.97,45323,13376,4078
1788549991,74438,52,88.26,45323,12921,4078
1788549996,74438,50,55.78,45323,12773,4078
1788550001,74438,48,15.74,45323,12509,4078
1788550006,74438,47,15.77,45323,11207,4078
1788550011,74438,59,434.91,45331,11566,4078
1788550016,74438,61,442.40,45345,11608,4078
1788550021,74438,63,445.55,45349,11655,4078
1788550026,74438,64,437.79,45352,11639,4078
1788550031,74438,64,414.47,45360,11646,4078
1788550036,74438,57,141.90,45323,11850,4078
1788550041,74438,54,89.46,45323,13379,4078
1788550047,74438,52,88.39,45323,13385,4078
1788550052,74438,51,87.61,45323,12922,4078
1788550057,74438,49,24.01,45323,12740,4078
1788550062,74438,47,15.70,45323,12346,4078
1788550067,74438,46,16.11,45369,11402,4078
1788550072,74438,64,360.17,45385,11518,4078
1788550077,74470,57,177.81,45363,11541,4078
1788550082,74502,60,469.24,45361,11549,4078
1788550087,74502,68,562.90,45407,11535,4078
1788550092,74502,62,348.92,45482,11402,4078
1788550097,74502,69,556.04,45511,11412,4078
1788550102,74502,57,121.96,45370,13130,4078
1788550107,74502,54,90.40,45370,13225,4078
1788550112,74502,52,89.32,45370,13232,4078
1788550117,74502,50,86.92,45370,12821,4078
1788550122,74502,48,17.68,45370,12601,4078
1788550127,74502,47,15.81,45370,12044,4078
1788550133,74502,49,109.46,45386,11384,4078
1788550138,74502,56,340.26,45374,11460,4078
1788550143,74502,58,341.51,45393,11491,4078
1788550148,74502,51,105.39,45371,13196,4078
1788550153,74502,50,86.74,45371,13241,4078
1788550158,74502,49,85.97,45371,13227,4078
1788550163,74502,47,79.66,45371,12774,4078
1788550168,74502,46,17.37,45371,12551,4078
1788550173,74502,45,15.31,45371,11914,4078
1788550178,74502,47,120.69,45378,11475,4078
1788550183,74502,55,336.12,45375,11530,4078
1788550188,74502,56,338.51,45393,11557,4078
1788550193,74502,49,102.34,45372,13231,4078
1788550198,74502,48,86.23,45372,13253,4078
1788550203,74502,48,85.48,45372,13231,4078
1788550208,74502,47,85.07,45372,12817,4078
1788550214,74502,45,15.29,45372,12558,4078
1788550219,74502,44,15.96,45372,11975,4078
1788550224,74502,51,122.52,45391,11346,4078
1788550229,74502,60,438.36,45414,11371,4078
1788550234,74502,60,412.65,45572,11245,4078
1788550239,74502,65,423.57,45657,11134,4078
1788550244,74502,68,547.43,45499,11374,4078
1788550249,74502,69,564.25,45581,11377,4078
1788550254,74502,67,449.99,45504,11346,4078
1788550259,74502,65,534.00,45507,11348,4078
1788550264,74502,74,577.69,45517,11346,4078
1788550269,74502,74,569.51,45679,11320,4078
1788550274,74502,76,557.59,45637,11276,4078
1788550279,74502,77,571.85,45627,11260,4078
1788550284,74502,71,413.67,45706,11263,4078
1788550289,74502,61,105.40,45398,13218,4078
1788550294,74502,58,93.50,45398,13218,4078
1788550299,74502,56,91.90,45398,12952,4078
1788550305,74502,54,79.67,45398,12695,4078
1788550310,74502,52,18.12,45398,12466,4078
1788550315,74502,50,21.32,45398,11817,4078
1788550320,74502,66,567.39,45491,11194,4078
1788550325,74502,70,558.61,45637,11150,4078
1788550330,74502,71,543.48,45570,11249,4078
1788550335,74502,72,567.84,45634,11236,4078
1788550340,74502,74,582.30,45542,11341,4078
1788550345,74502,76,582.20,45545,11408,4078
1788550350,74502,76,580.33,45622,11383,4078
1788550355,74502,74,466.11,45551,11452,4078
1788550360,74502,78,585.51,45563,11453,4078
1788550365,74566,79,578.54,45519,11481,4078
1788550370,74566,80,585.58,45526,11406,4078
1788550375,74566,80,564.72,45532,11389,4078
1788550380,74566,75,515.02,45540,11436,4078
1788550386,74566,82,590.15,45548,11433,4078
1788550391,74566,79,583.62,45515,11437,4078
1788550396,74566,77,450.52,45572,11429,4078
1788550401,74566,66,117.41,45400,13277,4078
1788550406,74566,63,97.39,45400,13288,4078
1788550411,74566,60,96.17,45400,13206,4078
1788550416,74566,57,85.20,45400,12735,4078
1788550421,74566,55,17.28,45400,12498,4078
1788550426,74566,53,17.09,45400,11844,4078
1788550431,74566,68,570.25,45476,11345,4078
1788550436,74566,71,578.61,45554,11278,4078
1788550441,74566,72,567.17,45541,11279,4078
1788550446,74566,73,495.42,45556,11342,4078
1788550451,74566,76,568.88,45517,11442,4078
1788550456,74566,78,563.42,45555,11422,4078
1788550461,74566,74,523.18,45568,11388,4078
1788550466,74566,75,510.98,45546,11420,4078
1788550472,74566,79,562.60,45563,11427,4078
1788550477,74566,78,582.92,45542,11469,4078
1788550482,74566,81,588.72,45546,11400,4078
1788550487,74566,82,595.80,45513,11453,4078
1788550492,74566,82,580.38,45554,11431,4078
1788550497,74566,82,587.01,45516,11458,4078
1788550502,74566,83,583.42,45539,11466,4078
1788550507,74566,79,455.90,45541,11437,4078
1788550512,74566,68,151.66,45400,12696,4078
1788550517,74566,64,98.17,45400,13217,4078
1788550522,74566,61,97.10,45400,13211,4078
1788550527,74566,59,95.84,45400,12737,4078
1788550532,74566,56,25.35,45400,12553,4078
1788550537,74566,54,17.67,45400,12052,4078
1788550542,74566,60,512.43,45400,11296,4078
1788550547,74566,55,106.87,45398,12991,4078
1788550553,74566,54,90.18,45398,13064,4078
1788550558,74566,52,88.81,45398,12711,4078
1788550563,74566,52,88.26,45398,12482,4078
1788550568,74566,49,19.88,45398,11962,4078
1788550573,74566,51,184.45,45398,11404,4078
1788550578,74566,49,86.38,45398,13177,4078
1788550583,74566,49,85.68,45398,12778,4078
1788550588,74566,48,85.55,45398,12615,4078
1788550593,74566,46,19.77,45398,12132,4078
1788550598,74566,47,51.60,45398,11400,4078
1788550603,74566,46,84.78,45398,13070,4078
1788550608,74566,46,84.61,45398,12755,4078
1788550613,74566,46,84.12,45398,12633,4078
1788550618,74566,44,48.54,45398,12424,4078
1788550623,74566,43,15.94,45398,10773,4078
1788550628,74566,48,238.68,45399,11440,4078
1788550633,74566,47,93.43,45398,13140,4078
1788550639,74566,47,85.12,45398,12876,4078
1788550644,74566,46,84.78,45398,12685,4078
1788550649,74566,45,65.05,45398,12465,4078
1788550654,74566,44,15.30,45398,11749,4078
1788550659,74566,46,130.56,45399,11487,4078
1788550664,74566,44,83.98,45399,13159,4078
1788550669,74566,44,83.49,45399,12791,4078
1788550674,74566,44,83.66,45399,12599,4078
1788550679,74566,42,19.27,45399,12108,4078
1788550684,74566,44,71.00,45400,11284,4077
1788550689,74566,43,82.31,45399,13123,4077
1788550694,74566,43,83.18,45399,12891,4077
1788550699,74566,43,82.88,45399,12672,4077
1788550704,74566,42,55.05,45399,12480,4077
1788550709,74566,41,16.20,45399,11052,4077
1788550714,74566,55,406.80,45513,11163,4077
1788550720,74566,59,300.21,45513,11205,4077
1788550725,74566,49,295.39,45588,11197,4077
1788550730,74630,52,404.30,45616,11200,4077
1788550735,74662,51,127.33,44589,13968,4077
1788550740,74662,48,85.42,44589,13619,4077
1788550745,74662,47,84.97,44589,13425,4077
1788550750,74662,47,85.09,44589,13067,4077
1788550755,74662,45,25.91,44589,12041,4077
1788550760,74662,59,272.76,44713,12116,4077
1788550765,74664,51,349.85,44821,12053,4077
1788550770,74664,49,103.82,44846,13665,4077
1788550775,74664,48,85.51,44846,13691,4077
1788550780,74664,47,84.41,44846,13253,4078
1788550785,74664,46,75.81,44846,12980,4078
1788550790,74664,44,17.85,44846,12301,4078
1788550795,74664,53,166.91,44847,11756,4078
1788550800,74664,45,83.51,44847,13694,4077
