ts,vram_used_mib,gpu_temp_c,gpu_power_w,engine_rss_mib,mem_available_mib,swap_used_mib
1788547950,77076,48,186.21,41295,17336,4070
1788547955,77076,45,83.57,41295,16902,4070
1788547960,77076,45,82.96,41295,16729,4070
1788547965,77076,45,83.07,41295,16419,4070
1788547970,77076,43,31.59,41301,15617,4070
1788547976,77076,49,203.62,41308,15735,4069
1788547981,77092,46,106.99,41319,15667,4069
1788547986,77094,56,422.77,41667,15268,4069
1788547991,77094,51,312.57,41666,15404,4069
1788547996,77094,48,84.62,41666,16980,4069
1788548001,77094,47,84.39,41666,17024,4069
1788548006,77094,46,84.34,41666,16614,4069
1788548011,77094,44,31.86,41666,16439,4070
1788548016,77094,44,15.31,41666,16115,4070
1788548021,77094,43,15.01,41666,14418,4070
1788548026,77094,55,417.23,41667,15180,4070
1788548031,77094,49,280.16,41666,15327,4070
1788548036,77094,47,84.86,41666,16996,4070
1788548041,77094,46,84.18,41666,17003,4070
1788548046,77094,46,83.90,41666,16582,4070
1788548051,77094,44,49.68,41666,16407,4070
1788548056,77094,43,15.90,41666,16040,4070
1788548062,77094,42,14.80,41666,14769,4070
1788548067,77094,56,427.62,41668,15085,4070
1788548072,77094,48,144.18,41666,15278,4070
1788548077,77094,46,84.11,41666,16921,4070
1788548082,77094,46,83.51,41666,16958,4070
1788548087,77094,45,83.37,41666,16513,4071
1788548092,77094,43,17.76,41666,16333,4071
1788548097,77094,43,15.05,41666,15775,4071
1788548102,77094,45,132.09,41666,15162,4071
1788548107,77108,55,416.81,41677,15111,4071
1788548112,77108,55,414.85,41899,14959,4071
1788548117,77108,59,427.07,42012,14892,4071
1788548122,77108,61,420.16,42346,14607,4071
1788548127,77108,62,413.45,42569,14438,4071
1788548132,77108,53,106.44,42567,16007,4071
1788548137,77108,51,87.14,42567,16060,4071
1788548143,77108,50,85.68,42567,15830,4071
1788548148,77108,48,69.26,42567,15627,4071
1788548153,77108,46,17.57,42567,15385,4071
1788548158,77108,45,16.41,42567,14778,4071
1788548163,77108,56,407.52,42570,14201,4071
1788548168,77108,59,420.38,42570,14294,4071
1788548173,77108,60,426.31,42570,14397,4071
1788548178,77108,62,411.04,42571,14459,4071
1788548183,77108,62,421.32,42571,14490,4071
1788548188,77108,55,170.73,42567,14618,4071
1788548193,77108,52,87.91,42567,16111,4071
1788548198,77108,51,87.32,42567,16135,4071
1788548203,77108,50,86.06,42567,15745,4071
1788548208,77108,48,30.48,42567,15474,4071
1788548213,77108,47,15.44,42567,14948,4071
1788548218,77108,48,184.03,42567,14298,4070
1788548223,77108,59,417.57,42570,14305,4070
1788548229,77108,60,424.53,42570,14365,4070
1788548234,77108,63,408.33,42571,14428,4070
1788548239,77108,63,410.83,42571,14480,4070
1788548244,77108,66,447.44,42571,14515,4071
1788548249,77108,54,89.97,42568,16133,4071
1788548254,77108,52,87.92,42568,16131,4071
1788548259,77108,51,87.03,42568,15744,4071
1788548264,77108,48,30.95,42568,15463,4071
1788548269,77108,47,15.97,42568,15169,4071
1788548274,77108,46,15.23,42568,13993,4071
1788548279,77910,52,203.64,42805,13996,4071
1788548284,77942,61,425.79,43038,13796,4071
1788548289,77942,63,431.95,43483,13425,4071
1788548294,77942,55,142.57,43702,13320,4071
1788548299,77942,52,87.82,43702,14877,4071
1788548304,77942,51,86.69,43702,14894,4071
1788548309,77942,50,86.71,43702,14427,4071
1788548315,77942,47,20.09,43702,14215,4071
1788548320,77942,46,15.47,43702,13515,4071
1788548325,77942,48,163.76,43703,12974,4071
1788548330,77942,59,428.79,43706,13045,4071
1788548335,77942,50,102.34,43703,14836,4071
1788548340,77942,49,85.54,43703,14891,4071
1788548345,77942,48,84.17,43703,14658,4071
1788548350,77942,47,83.76,43703,14406,4071
1788548355,77942,45,18.24,43703,14166,4071
1788548360,77942,44,15.10,43703,13353,4071
1788548365,77942,55,292.69,43706,13030,4071
1788548370,77942,58,427.63,43705,13147,4071
1788548375,77942,48,84.84,43702,14960,4071
1788548380,77942,47,84.50,43702,14975,4071
1788548385,77942,47,84.24,43702,14648,4071
1788548390,77942,45,72.05,43702,14451,4071
1788548396,77942,44,15.02,43702,14231,4072
1788548401,77942,43,17.41,43702,13044,4072
1788548406,77942,49,347.64,43709,13046,4072
1788548411,77942,61,413.11,43758,13116,4072
1788548416,77942,64,428.62,43958,12943,4072
1788548421,77942,61,355.84,44390,12584,4072
1788548426,77942,61,370.73,44723,12237,4072
1788548431,77942,58,413.29,45280,11709,4072
1788548436,77942,65,418.51,45500,11482,4072
1788548441,77942,65,385.94,45507,11347,4072
1788548446,77942,55,98.58,45392,13022,4072
1788548451,77942,53,88.47,45392,13034,4072
1788548456,77942,52,88.67,45392,12726,4072
1788548461,77942,50,54.28,45392,12495,4072
1788548466,77942,48,17.29,45392,12259,4072
1788548471,77942,47,18.44,45392,11385,4072
1788548476,77942,58,406.88,45400,11593,4072
1788548482,77942,60,393.81,45401,11568,4072
1788548487,77942,61,390.80,45402,11587,4072
1788548492,77942,63,421.52,45402,11583,4072
1788548497,77942,63,413.78,45402,11593,4072
1788548502,77942,58,360.84,45393,11671,4072
1788548507,77942,54,89.08,45393,13244,4072
1788548512,77942,52,88.53,45393,13237,4072
1788548517,77942,51,87.20,45393,12829,4073
1788548522,77942,49,25.33,45393,12659,4073
1788548527,77942,47,15.45,45393,12237,4073
1788548532,77942,51,26.34,45398,11417,4072
1788548537,77942,58,390.55,45398,11461,4072
1788548542,77942,60,415.68,45400,11517,4072
1788548547,77942,61,417.68,45400,11589,4072
1788548552,77942,63,423.80,45400,11615,4072
1788548557,77942,63,384.71,45400,11581,4072
1788548563,77942,54,89.74,45393,13256,4072
1788548568,77942,52,87.87,45393,13273,4072
1788548573,77942,51,86.73,45393,12941,4072
1788548578,77942,49,54.77,45393,12696,4072
1788548583,77942,48,15.83,45393,12452,4072
1788548588,77942,47,15.93,45393,11908,4072
1788548593,77974,50,285.57,45453,11279,4072
1788548598,78070,64,514.13,45604,11190,4072
1788548603,78070,65,386.00,45519,11360,4072
1788548608,78070,68,556.48,45500,11312,4072
1788548613,78070,64,436.05,45549,11273,4072
1788548618,78070,66,457.18,45658,11212,4072
1788548623,78070,55,90.35,45440,13108,4072
1788548628,78070,53,88.94,45440,13142,4072
1788548633,78070,52,87.08,45440,12762,4072
1788548638,78070,50,54.53,45440,12568,4072
1788548643,78070,48,18.76,45440,12419,4072
1788548649,78070,47,16.24,45440,11102,4072
1788548654,78070,59,407.73,45442,11498,4072
1788548659,78070,61,413.78,45448,11506,4072
1788548664,78070,50,86.02,45439,13130,4072
1788548669,78070,49,85.69,45439,13169,4072
1788548674,78070,48,84.92,45439,12848,4072
1788548679,78070,47,53.52,45439,12608,4072
1788548684,78070,45,15.31,45439,12230,4072
1788548689,78070,45,15.56,45439,10642,4072
1788548694,78070,57,406.40,45443,11412,4072
1788548699,78070,59,406.98,45453,11494,4072
1788548704,78070,49,84.83,45440,13168,4072
1788548709,78070,48,84.33,45440,13188,4072
1788548714,78070,47,83.60,45440,12815,4073
1788548719,78070,46,51.25,45440,12604,4073
1788548724,78070,44,15.01,45440,12248,4073
1788548730,78070,43,15.03,45440,11246,4073
1788548735,78070,55,373.33,45455,11415,4073
1788548740,78070,59,448.97,45643,11262,4073
1788548745,78070,54,355.90,45636,11338,4073
1788548750,78070,62,420.50,45660,11277,4073
1788548755,78070,64,395.55,45573,11305,4072
1788548760,78070,70,566.06,45669,11259,4072
1788548765,78070,67,399.81,45624,11227,4072
1788548770,78070,73,511.53,45618,11272,4072
1788548775,78070,74,536.28,45622,11232,4072
1788548780,78070,75,559.97,45769,11132,4072
1788548785,78070,76,579.31,45641,11214,4072
1788548790,78102,77,474.15,45615,11238,4072
1788548795,78104,71,396.80,45791,11072,4072
1788548800,78104,61,105.11,45475,13085,4072
1788548805,78104,58,94.03,45475,13141,4072
1788548810,78104,56,92.85,45475,12802,4072
1788548816,78104,53,57.43,45475,12643,4072
1788548821,78104,51,16.47,45475,12389,4072
1788548826,78104,50,16.27,45475,11132,4072
1788548831,78104,67,562.93,45542,11319,4072
1788548836,78104,70,555.92,45771,11140,4072
1788548841,78104,69,540.78,45610,11240,4072
1788548846,78104,72,558.78,45784,11127,4072
1788548851,78104,74,572.14,45784,11141,4072
1788548856,78104,75,539.79,45621,11292,4072
1788548861,78104,76,575.19,45840,11034,4072
1788548866,78104,72,443.62,45731,11191,4072
1788548871,78104,78,569.96,45737,11183,4072
1788548876,78136,77,537.78,45649,11182,4072
1788548881,78136,79,582.82,45676,11135,4072
1788548886,78136,80,582.43,45689,11111,4072
1788548891,78136,81,595.36,45742,11150,4072
1788548896,78136,80,513.50,45642,11327,4072
1788548902,78136,82,595.97,45744,11259,4072
1788548907,78136,80,565.93,45701,11210,4072
1788548912,78136,69,294.13,45490,11525,4072
1788548917,78136,64,98.16,45490,13098,4072
1788548922,78136,61,96.52,45490,13124,4072
1788548927,78136,59,94.66,45490,12716,4072
1788548932,78136,56,33.43,45490,12518,4072
1788548937,78136,54,17.83,45490,12146,4072
1788548942,78136,52,16.88,45490,11003,4072
1788548947,78136,70,569.42,45559,11229,4073
1788548952,78136,60,242.00,45520,11325,4073
1788548957,78136,70,506.13,45668,11304,4073
1788548962,78136,75,567.93,45738,11262,4073
1788548967,78136,76,564.69,45777,11171,4073
1788548972,78136,71,566.34,45778,11247,4073
1788548977,78200,78,571.91,45725,11199,4073
1788548983,78200,75,496.91,45662,11268,4073
1788548988,78200,77,547.12,45687,11292,4073
1788548993,78200,79,563.48,45665,11221,4073
1788548998,78200,80,586.66,45720,11184,4073
1788549003,78200,81,549.05,45794,11166,4073
1788549008,78200,76,560.76,45778,11145,4073
1788549013,78200,82,520.22,45719,11168,4073
1788549018,78200,83,598.51,45763,11197,4073
1788549023,78200,78,464.18,45804,11179,4073
1788549028,78200,69,160.15,45508,11601,4073
1788549033,78200,64,98.14,45508,13101,4073
1788549038,78200,61,96.91,45508,13104,4073
1788549043,78200,59,95.19,45508,12650,4073
1788549048,78200,56,26.32,45508,12489,4073
1788549053,78200,54,17.19,45508,11955,4073
1788549058,78200,62,512.58,45508,11286,4073
1788549063,78200,55,106.98,45506,13104,4073
1788549069,78200,54,91.11,45506,13063,4073
1788549074,78200,53,89.28,45506,12638,4073
1788549079,78200,51,84.71,45506,12427,4073
1788549084,78200,49,15.99,45506,11642,4073
1788549089,78200,52,204.70,45506,11264,4073
1788549094,78200,49,86.38,45506,13001,4073
1788549099,78200,49,86.56,45506,12656,4073
1788549104,78200,48,85.68,45506,12489,4073
1788549109,78200,46,22.21,45506,12159,4073
1788549114,78200,49,49.85,45507,11275,4073
1788549119,78200,47,86.24,45505,12952,4073
1788549124,78200,46,84.64,45505,12757,4075
1788549129,78200,46,85.64,45505,12564,4075
1788549134,78200,45,53.03,45505,12372,4075
1788549139,78200,44,15.69,45505,11938,4075
1788549144,78200,61,540.16,45716,11145,4075
1788549149,78200,49,157.14,45506,11503,4075
1788549155,78200,47,85.38,45506,13074,4074
1788549160,78200,46,85.25,45506,12671,4074
1788549165,78200,46,84.18,45506,12468,4074
1788549170,78200,44,17.37,45506,11892,4074
1788549175,78200,50,147.15,45508,11237,4074
1788549180,78200,45,84.52,45506,13013,4074
1788549185,78200,45,83.74,45506,12663,4074
1788549190,78200,44,83.26,45506,12487,4075
1788549195,78200,43,38.48,45506,12158,4074
1788549200,78200,42,14.88,45506,11038,4074
1788549205,78200,44,100.27,45506,13051,4074
1788549210,78200,43,83.08,45506,12951,4074
1788549215,78200,43,82.41,45506,12662,4075
1788549220,78200,42,71.97,45506,12385,4075
1788549225,78200,41,16.34,45506,11512,4075
1788549230,78200,56,478.49,45692,11106,4075
1788549235,78200,47,377.29,45692,11144,4074
1788549241,78200,51,410.61,45739,11081,4074
1788549246,78200,62,310.64,45790,11096,4074
1788549251,78232,51,312.62,45842,12651,4074
1788549256,78232,49,86.16,44696,13558,4074
1788549261,78232,48,85.78,44696,13384,4074
1788549266,78232,47,84.69,44696,13166,4074
1788549271,78232,46,52.84,44696,12405,4074
1788549276,78232,60,382.86,44886,12053,4074
1788549281,78232,62,288.48,44886,11984,4074
1788549286,78232,52,145.21,44953,11836,4074
1788549291,78232,48,85.21,44950,13558,4074
1788549296,78232,48,84.81,44950,13263,4074
1788549301,78232,47,84.58,44950,13076,4074
1788549306,78232,45,34.32,44950,12703,4074
1788549311,78232,44,15.37,44950,11559,4074
1788549316,78232,46,102.48,44952,13550,4074
