ts,vram_used_mib,gpu_temp_c,gpu_power_w,engine_rss_mib,mem_available_mib,swap_used_mib
1788546639,89663,44,66.57,3468,51938,6038
1788546644,89663,43,82.50,3468,51535,6038
1788546650,89663,43,82.68,3468,51352,6038
1788546655,89663,43,82.47,3468,51203,6036
1788546660,89663,41,22.16,3468,49498,6036
1788546665,89663,47,237.85,3472,50125,6031
1788546670,89755,46,246.70,3475,50137,6026
1788546675,89755,50,277.32,3475,50120,6025
1788546680,89755,51,282.24,3476,50157,6024
1788546685,89755,46,83.05,3476,51732,6024
1788546690,89755,45,82.88,3476,51744,6023
1788546695,89755,45,82.29,3476,51473,6023
1788546700,89755,44,51.90,3476,51241,6023
1788546705,89755,43,14.55,3476,51064,6020
1788546710,89755,42,14.81,3476,49424,6020
1788546715,89755,49,288.98,3476,50019,6019
1788546720,89755,51,307.39,3476,50107,6019
1788546725,89755,52,324.00,3476,50154,6018
1788546730,89755,47,90.82,3476,51807,6018
1788546736,89755,46,82.74,3476,51838,6018
1788546741,89755,45,83.15,3476,51531,6018
1788546746,89755,44,59.06,3476,51345,6018
1788546751,89755,43,16.25,3476,51136,6018
1788546756,89755,42,14.83,3476,50226,6018
1788546761,89755,49,297.74,3476,50053,6018
1788546766,89755,52,324.39,3476,50343,6018
1788546771,89755,54,328.85,3477,50359,6017
1788546776,89755,47,84.28,3477,51881,6016
1788546781,89755,46,83.43,3477,51898,6016
1788546786,89755,46,83.75,3477,51503,6015
1788546791,89755,44,51.16,3477,51308,6016
1788546796,89755,43,15.25,3477,51076,6016
1788546801,89755,42,14.62,3477,50786,6016
1788546806,89755,49,206.45,3477,50064,6015
1788546811,89755,50,304.57,3477,50089,6015
1788546816,89755,51,281.08,3478,50172,6014
1788546822,89777,51,244.27,3482,50186,6010
1788546827,89777,50,259.81,3485,50128,6007
1788546832,89777,50,252.05,3487,50388,6004
1788546837,89789,56,342.22,3488,50327,6003
1788546842,89789,49,95.17,3488,51853,6003
1788546847,89789,48,84.97,3488,51822,6003
1788546852,89789,47,84.52,3488,51489,6003
1788546857,89789,46,52.82,3488,51320,6004
1788546862,89789,44,15.38,3488,51184,6004
1788546867,89789,44,15.09,3488,50759,6003
1788546872,89789,50,257.93,3488,50086,6003
1788546877,89789,53,348.42,3489,50102,6002
1788546882,89789,54,335.51,3489,50200,6002
1788546887,89789,55,340.09,3490,50209,6000
1788546892,89789,56,344.45,3490,50292,6000
1788546897,89789,52,111.03,3490,50389,6000
1788546902,89789,50,86.04,3490,51908,6000
1788546908,89789,49,85.00,3490,51883,6000
1788546913,89789,48,85.11,3490,51404,6000
1788546918,89789,46,23.03,3490,51223,6000
1788546923,89789,45,16.42,3490,51085,6000
1788546928,89789,44,15.25,3490,49406,6002
1788546933,89789,52,332.33,3490,50127,6002
1788546938,89789,54,341.73,3490,50183,6002
1788546943,89789,56,351.33,3490,50221,6002
1788546948,89789,57,350.61,3491,50248,6000
1788546953,89789,58,354.81,3492,50252,5999
1788546958,89789,51,95.86,3492,51855,5999
1788546963,89789,49,85.73,3492,51848,5999
1788546968,89789,49,86.07,3492,51511,5999
1788546973,89789,47,52.78,3492,51326,5999
1788546978,89789,46,18.36,3492,51089,5999
1788546983,89789,45,15.27,3492,50277,5999
1788546989,92231,50,379.36,3479,50095,5992
1788546994,93013,56,423.47,3479,50135,5992
1788546999,93013,56,357.69,3479,50173,5992
1788547004,93013,51,112.27,3480,50326,5990
1788547009,93013,49,86.14,3480,51712,5989
1788547014,93013,48,84.78,3480,51756,5989
1788547019,93013,47,85.69,3480,51350,5990
1788547024,93013,45,29.01,3480,51087,5991
1788547029,93013,44,15.58,3480,50580,5990
1788547034,93013,48,91.25,3481,49839,5990
1788547039,93013,55,422.77,3481,49901,5989
1788547044,93013,55,352.08,3481,50100,5989
1788547049,93013,49,104.29,3481,51706,5989
1788547054,93013,48,84.18,3481,51772,5989
1788547059,93013,47,84.18,3481,51806,5989
1788547064,93013,46,81.44,3481,51342,5989
1788547069,93013,45,15.20,3481,51123,5989
1788547075,93013,44,18.06,3481,50571,5989
1788547080,93013,46,208.73,3481,49890,5989
1788547085,93013,53,353.57,3481,49964,5989
1788547090,93013,55,360.43,3481,50052,5989
1788547095,93013,48,85.36,3481,51749,5989
1788547100,93013,47,83.97,3481,51806,5989
1788547105,93013,47,83.97,3481,51439,5989
1788547110,93013,45,52.57,3481,51292,5989
1788547115,93013,44,15.17,3481,51070,5988
1788547120,93013,43,14.95,3481,49809,5989
1788547125,93013,52,349.18,3481,49996,5989
1788547130,93013,54,354.73,3481,50079,5988
1788547135,93013,62,413.14,3483,50165,5986
1788547140,93013,58,445.33,3483,50201,5985
1788547145,93819,58,428.80,3485,50197,5984
1788547150,93819,54,270.52,3485,50296,5984
1788547156,93819,51,87.39,3485,51779,5984
1788547161,93819,50,86.64,3485,51798,5984
1788547166,93819,49,85.23,3485,51430,5985
1788547171,93819,47,40.59,3485,51225,5985
1788547176,93819,46,15.78,3485,50815,5985
1788547181,93819,51,80.01,3479,49989,5985
1788547186,93819,55,358.25,3479,50029,5985
1788547191,93819,56,361.79,3479,50099,5985
1788547196,93821,58,411.99,3479,50162,5985
1788547201,93821,59,410.09,3480,50188,5984
1788547206,93821,60,356.87,3480,50173,5983
1788547211,93821,53,104.13,3480,51817,5983
1788547216,93821,51,87.33,3480,51820,5983
1788547221,93821,50,85.88,3480,51784,5982
1788547226,93821,49,75.79,3480,51341,5983
1788547231,93821,47,17.30,3480,51158,5983
1788547237,93821,46,15.44,3480,50706,5982
1788547242,93821,50,99.40,3467,50141,5983
1788547247,93821,55,368.89,3468,50151,5982
1788547252,93821,56,364.15,3468,50149,5981
1788547257,93821,58,385.21,3468,50161,5981
1788547262,93821,59,363.54,3468,50183,5980
1788547267,93821,54,127.24,3468,50297,5980
1788547272,93821,51,87.48,3468,51840,5980
1788547277,93821,50,87.09,3468,51841,5980
1788547282,93821,49,86.13,3468,51351,5980
1788547287,93821,47,18.62,3468,51176,5980
1788547292,93821,46,16.38,3468,50808,5980
1788547297,93821,45,15.32,3381,49765,5980
1788547302,94663,54,322.64,3392,49969,5980
1788547307,94663,64,542.58,3398,50012,5980
1788547312,94663,60,360.05,3398,50064,5980
1788547317,94663,52,105.88,3398,51736,5980
1788547323,94663,50,87.15,3398,51793,5980
1788547328,94663,49,86.35,3398,51743,5980
1788547333,94663,48,80.57,3398,51265,5980
1788547338,94663,46,16.92,3398,51105,5980
1788547343,94663,45,15.43,3398,50743,5980
1788547348,94663,52,56.48,3383,49879,5980
1788547353,94663,58,371.86,3383,49932,5980
1788547358,94663,56,362.22,3385,50015,5980
1788547363,94663,51,152.66,3385,50210,5980
1788547368,94663,49,86.00,3385,51767,5980
1788547373,94663,48,85.17,3385,51776,5980
1788547378,94663,47,84.55,3385,51308,5980
1788547383,94663,45,20.31,3385,51148,5979
1788547388,94663,44,15.48,3385,50811,5979
1788547393,94663,44,15.05,3385,49928,5979
1788547398,94663,53,358.97,3385,49959,5979
1788547404,94663,55,359.33,3385,50001,5979
1788547409,94663,50,143.27,3385,51704,5979
1788547414,94663,47,84.53,3385,51701,5980
1788547419,94663,47,84.24,3385,51717,5980
1788547424,94663,46,83.90,3385,51261,5980
1788547429,94663,44,18.47,3385,51074,5980
1788547434,94663,44,18.25,3385,50691,5980
1788547439,94663,49,33.94,3385,50118,5980
1788547444,94663,53,358.44,3385,50061,5979
1788547449,94663,55,362.20,3385,50093,5979
1788547454,94663,61,399.19,3385,50121,5979
1788547459,94663,61,534.88,3385,50129,5979
1788547464,94663,64,468.40,3385,50140,5979
1788547469,94663,66,508.06,3386,50149,5979
1788547474,94663,63,378.18,3386,50130,5979
1788547479,94663,54,89.72,3386,51772,5979
1788547484,94663,52,87.82,3386,51784,5979
1788547490,94663,51,87.62,3386,51418,5979
1788547495,94663,49,58.82,3386,51205,5979
1788547500,94663,48,19.01,3386,50983,5979
1788547505,94663,47,17.85,3386,50608,5978
1788547510,94663,54,221.47,3386,50222,5978
1788547515,94663,57,474.57,3386,50228,5978
1788547520,94663,58,455.32,3386,50191,5978
1788547525,94665,59,375.57,3386,50174,5978
1788547530,94665,61,456.52,3386,50163,5978
1788547535,94665,55,276.52,3386,50208,5978
1788547540,94665,52,88.60,3386,51770,5978
1788547545,94665,51,87.27,3386,51783,5978
1788547550,94665,50,86.33,3386,51368,5978
1788547555,94665,48,35.49,3386,51161,5978
1788547560,94665,47,16.00,3386,50951,5978
1788547565,94665,46,15.70,3386,49462,5978
1788547571,94665,54,359.44,3386,50139,5978
1788547576,94665,56,364.38,3386,50159,5978
1788547581,94665,58,370.85,3386,50180,5978
1788547586,94665,59,365.78,3386,50197,5977
1788547591,94665,60,368.80,3387,50183,5977
1788547596,94665,52,88.19,3387,51783,5978
1788547601,94665,51,86.74,3387,51783,5978
1788547606,94665,50,85.96,3387,51463,5978
1788547611,94665,48,54.14,3387,51274,5978
1788547616,94665,46,15.54,3387,51061,5978
1788547621,94665,45,15.51,3387,50385,5978
1788547626,94665,60,244.70,3386,50011,5978
1788547631,94665,47,84.38,3386,51714,5978
1788547636,94665,46,84.15,3386,51397,5978
1788547641,94665,46,83.54,3386,51205,5978
1788547646,94665,44,22.48,3386,50964,5978
1788547652,94665,43,14.91,3386,49434,5978
1788547657,94665,44,83.60,3386,51674,5979
1788547662,94665,44,83.11,3386,51676,5978
1788547667,94665,44,82.12,3386,51209,5978
1788547672,94665,44,82.76,3386,51031,5978
1788547677,94665,42,17.08,3386,50524,5978
1788547682,94665,43,58.49,3386,49883,5978
1788547687,94665,43,81.87,3386,51648,5977
1788547692,94665,43,82.13,3386,51375,5978
1788547697,94665,43,81.65,3386,51140,5978
1788547702,94665,42,34.32,3386,50789,5978
1788547707,94665,41,14.60,3386,49762,5977
1788547712,94665,43,81.09,3386,51678,5977
1788547717,94665,42,81.24,3386,51368,5977
