ts,vram_used_mib,gpu_temp_c,gpu_power_w,engine_rss_mib,mem_available_mib,swap_used_mib
1788613471,89668,70,375.72,45732,12796,4095
1788613476,89668,65,98.92,45732,12370,4095
1788613481,89668,62,97.88,45732,12321,4096
1788613486,89668,60,97.19,45732,11936,4095
1788613491,89668,57,37.08,45732,11854,4095
1788613496,89674,67,337.51,45737,11056,4095
1788613501,89674,70,463.63,45859,11153,4095
1788613506,89674,62,332.60,45735,11163,4095
1788613511,89674,58,96.04,45735,12879,4095
1788613516,89674,56,94.49,45735,12876,4095
1788613521,89674,55,93.23,45735,12433,4095
1788613526,89674,52,39.43,45735,12302,4095
1788613531,89674,51,17.12,45735,12099,4095
1788613536,89674,50,17.08,45735,11250,4095
1788613542,89674,51,139.08,45735,11036,4095
1788613547,89674,63,444.71,45850,10929,4095
1788613552,89674,54,107.75,45735,12718,4095
1788613557,89674,52,90.02,45735,12770,4095
1788613562,89674,51,88.75,45735,12555,4095
1788613567,89674,50,69.14,45735,12357,4096
1788613572,89674,48,17.12,45735,12196,4096
1788613577,89674,47,15.88,45735,11667,4095
1788613582,89674,54,107.73,45739,10934,4096
1788613587,89674,60,442.51,45738,10916,4096
1788613592,89674,62,449.83,45864,10853,4095
1788613597,89674,52,105.35,45735,12764,4095
1788613602,89674,51,88.68,45735,12833,4095
1788613607,89674,50,87.96,45735,12788,4095
1788613612,89674,48,79.60,45735,12383,4095
1788613617,89674,47,17.90,45735,12200,4095
1788613623,89674,46,16.07,45735,11678,4095
1788613628,89674,56,75.70,45858,10768,4095
1788613633,89686,60,422.17,45862,10824,4095
1788613638,89686,60,425.76,45873,10898,4095
1788613643,89686,63,434.59,45858,10948,4095
1788613648,89686,55,173.29,45743,11268,4096
1788613653,89686,52,90.06,45743,12822,4095
1788613658,89686,51,89.38,45743,12832,4095
1788613663,89686,50,88.27,45743,12415,4096
1788613668,89686,48,21.75,45743,12193,4095
1788613673,89686,46,16.10,45743,11905,4095
1788613678,89686,45,16.82,45743,10552,4095
1788613683,89686,58,437.53,45868,10767,4095
1788613688,89686,60,425.45,45875,10860,4095
1788613693,89686,62,438.18,45876,10957,4095
1788613698,89686,64,446.67,45873,11022,4095
1788613704,89686,65,439.66,45874,11039,4095
1788613709,89686,61,434.99,45743,11254,4095
1788613714,89686,54,91.60,45743,12861,4095
1788613719,89686,53,91.45,45743,12854,4095
1788613724,89686,52,89.63,45743,12404,4095
1788613729,89686,49,27.51,45743,12204,4095
1788613734,89686,48,17.71,45743,12030,4095
1788613739,89686,47,17.20,45743,11466,4095
1788613744,89686,46,16.12,45743,11419,4095
1788613749,89686,58,239.91,45913,10841,4095
1788613754,89686,60,446.92,45935,10892,4095
1788613759,89686,61,457.12,45854,11076,4095
1788613764,89686,63,443.36,45874,11095,4095
1788613769,89686,64,443.17,45878,11075,4095
1788613774,89686,57,173.79,45743,11353,4095
1788613779,89686,53,91.76,45743,12810,4095
1788613785,89686,52,89.89,45743,12807,4095
1788613790,89686,51,88.90,45743,12385,4095
1788613795,89686,49,20.73,45743,12217,4095
1788613800,89686,47,16.27,45743,11848,4095
1788613805,89686,46,15.98,45743,10452,4095
1788613810,89686,57,158.60,45748,11063,4095
1788613815,89686,62,444.35,45856,11006,4095
1788613820,89686,63,512.05,45951,10965,4095
1788613825,89686,65,428.81,45745,11130,4095
1788613830,89686,53,90.71,45745,12791,4095
1788613835,89686,52,89.92,45745,12825,4095
1788613840,89686,51,88.20,45745,12463,4095
1788613845,89686,48,32.56,45745,12306,4095
1788613850,89686,47,16.07,45745,12140,4095
1788613855,89686,46,15.88,45745,11536,4095
1788613860,89686,55,349.34,45747,10921,4095
1788613866,89686,60,434.41,45861,10868,4095
1788613871,89686,62,432.12,45859,10943,4095
1788613876,89686,54,149.23,45746,12742,4095
1788613881,89686,51,89.24,45746,12817,4095
1788613886,89686,50,87.56,45746,12856,4095
1788613891,89686,48,72.25,45746,12385,4096
1788613896,89686,47,17.12,45746,12215,4095
1788613901,89686,46,15.58,45746,11868,4095
1788613906,89686,45,15.76,45746,10544,4095
1788613911,89686,59,441.22,45791,10780,4095
1788613916,89686,60,472.31,45958,10826,4095
1788613921,89686,53,157.03,45748,11145,4095
1788613926,89686,50,87.82,45748,12712,4095
1788613931,89686,49,87.72,45748,12752,4095
1788613936,89686,48,87.22,45748,12404,4095
1788613941,89686,46,27.79,45748,12199,4095
1788613947,89686,45,15.99,45748,11844,4095
1788613952,89686,44,15.81,45748,10281,4096
1788613957,89686,60,488.96,45921,10757,4095
1788613962,89686,55,452.53,45907,10866,4095
1788613967,89686,61,431.82,45865,10939,4095
1788613972,89686,64,491.44,45942,10933,4095
1788613977,89686,64,403.25,45885,11002,4095
1788613982,89686,68,431.43,45984,10933,4095
1788613987,89686,67,509.43,45947,10944,4095
1788613992,89686,57,111.12,45756,12818,4095
1788613997,89686,55,92.08,45756,12827,4095
1788614002,89686,53,90.72,45756,12570,4095
1788614007,89686,51,58.20,45756,12351,4095
1788614012,89686,49,17.08,45756,12173,4095
1788614017,89686,48,16.34,45756,11634,4095
1788614022,89686,47,16.09,45756,10758,4095
1788614028,89686,63,544.28,45925,10898,4095
1788614033,89686,63,514.18,45975,10908,4095
1788614038,89686,64,453.83,45987,10887,4095
1788614043,89686,62,459.46,45937,10883,4095
1788614048,89686,67,421.58,45934,10873,4095
