ts,vram_used_mib,gpu_temp_c,gpu_power_w,engine_rss_mib,mem_available_mib,swap_used_mib
1788568432,73116,48,222.62,41241,14845,3025
1788568437,73116,45,83.61,41241,14417,3025
1788568442,73116,45,83.49,41241,14241,3025
1788568447,73116,44,83.40,41241,13874,3025
1788568452,73116,43,45.31,41241,12945,3025
1788568457,73212,48,199.53,41367,12968,3025
1788568462,73224,52,271.00,41365,12948,3025
1788568467,73224,54,345.90,41488,12858,3025
1788568472,73224,55,347.13,41707,12655,3025
1788568477,73224,56,348.50,41707,12692,3025
1788568483,73224,48,85.54,41814,14301,3025
1788568488,73224,47,84.61,41814,14334,3025
1788568493,73224,46,83.71,41814,13914,3026
1788568498,73224,44,42.35,41814,13687,3023
1788568503,73224,43,15.33,41814,13490,3023
1788568508,73224,42,15.31,41814,13404,3021
1788568513,73224,51,276.32,41927,12430,3021
1788568518,73224,53,344.50,42041,12396,3021
1788568523,73224,54,374.23,42370,12056,3021
1788568528,73224,47,92.76,42370,13718,3021
1788568533,73224,46,84.02,42370,13698,3021
1788568538,73224,45,83.43,42370,13355,3021
1788568543,73224,44,64.25,42370,13191,3021
1788568548,73224,42,15.41,42370,12973,3021
1788568553,73224,42,14.46,42370,12418,3022
1788568558,73224,49,246.55,42376,11837,3022
1788568563,73224,52,343.10,42491,11787,3022
1788568569,73224,53,344.17,42600,11727,3022
1788568574,73224,54,347.18,42712,11721,3022
1788568579,73224,55,347.84,42830,11576,3022
1788568584,73224,47,84.78,42822,13245,3022
1788568589,73224,47,84.64,42822,13284,3022
1788568594,73224,46,85.21,42822,12924,3021
1788568599,73224,44,50.83,42822,12721,3021
1788568604,73224,43,15.13,42822,12488,3021
1788568609,73224,42,15.14,42822,11984,3021
1788568614,73224,45,174.79,43047,11364,3021
1788568619,73224,48,191.81,43157,11251,3021
1788568624,73506,54,368.96,43287,11122,3021
1788568629,73506,57,430.38,43731,10693,3021
1788568634,73506,57,439.14,44067,10331,3019
1788568639,73506,60,420.97,44287,10107,3019
1788568644,73506,52,217.16,44285,10208,3019
1788568649,73506,50,86.21,44285,11780,3019
1788568655,73506,48,86.11,44285,11804,3019
1788568660,73506,47,85.17,44285,11412,3019
1788568665,73506,45,44.48,44285,11196,3019
1788568670,73506,44,19.24,44285,10911,3019
1788568675,73506,43,14.71,44285,9727,3019
1788568680,73506,55,432.68,44632,9707,3019
1788568685,73506,57,428.45,44745,9641,3019
1788568690,73506,56,432.66,44962,9413,3019
1788568695,73506,60,437.14,45185,9190,3019
1788568700,73506,63,436.66,45519,8731,3019
1788568705,73506,61,367.67,45294,9079,3019
1788568710,73506,51,87.75,45294,10767,3019
1788568715,73506,50,86.08,45294,10797,3019
1788568720,73506,49,85.86,45294,10362,3020
1788568725,73506,46,34.94,45294,10205,3020
1788568730,73506,45,15.31,45294,9997,3020
1788568736,73506,44,15.07,45294,8860,3020
1788568741,73506,55,429.04,45449,8890,3020
1788568746,73506,58,445.75,45502,8867,3020
1788568751,73506,62,442.03,45410,8863,3020
1788568756,73506,60,435.82,45523,8883,3020
1788568761,73506,61,429.42,45520,8854,3020
1788568766,73506,53,104.28,45300,10706,3020
1788568771,73506,51,86.96,45300,10752,3020
1788568776,73506,49,86.61,45300,10507,3020
1788568781,73506,48,70.18,45300,10262,3021
1788568786,73506,46,17.80,45300,10068,3021
1788568791,73506,44,17.33,45300,9667,3020
1788568796,74242,59,408.87,45322,8920,3020
1788568801,74246,54,332.26,45311,8939,3020
1788568806,74246,55,332.25,45463,8897,3020
1788568811,74342,63,420.85,45527,8836,3020
1788568817,74374,64,452.77,45341,8905,3020
1788568822,74374,59,338.08,45427,8747,3020
1788568827,74374,50,86.13,45316,10616,3020
1788568832,74374,49,85.43,45316,10661,3020
1788568837,74374,48,84.65,45316,10332,3020
1788568842,74374,45,34.37,45316,10168,3020
1788568847,74374,44,14.96,45316,9959,3020
1788568852,74374,43,14.94,45316,8534,3020
1788568857,74374,52,274.18,45321,9047,3020
1788568862,74374,54,351.95,45431,8920,3020
1788568867,74374,56,347.38,45321,9068,3020
1788568872,74374,57,349.49,45432,8949,3020
1788568877,74374,49,85.31,45319,10604,3020
1788568882,74374,48,84.65,45319,10673,3020
1788568887,74374,47,84.34,45319,10406,3020
1788568892,74374,45,51.49,45319,10181,3020
1788568897,74374,44,14.74,45319,9937,3020
1788568903,74374,43,14.58,45319,9366,3020
1788568908,74374,51,210.81,45321,8785,3020
1788568913,74374,53,345.44,45322,8855,3020
1788568918,74374,54,326.03,45500,8815,3020
1788568923,74406,63,481.10,45484,8861,3020
1788568928,74406,48,85.90,45321,10502,3020
1788568933,74406,47,85.62,45321,10587,3020
1788568938,74406,46,85.34,45321,10428,3020
1788568943,74406,44,46.40,45321,10240,3020
1788568948,74406,43,18.86,45321,10024,3020
1788568953,74406,42,14.90,45321,9551,3020
1788568958,74406,46,228.04,45326,8689,3020
1788568963,74470,53,493.81,45528,8688,3020
1788568968,74470,58,410.56,45640,8659,3020
1788568973,74470,65,549.57,45560,8713,3020
1788568978,74470,61,413.45,45643,8738,3020
1788568984,74480,63,440.42,45460,8748,3020
1788568989,74480,64,442.63,45460,8816,3020
1788568994,74480,54,105.73,45348,10689,3020
1788568999,74480,52,88.19,45348,10671,3020
1788569004,74480,50,86.74,45348,10668,3020
1788569009,74480,49,81.65,45348,10249,3020
1788569014,74480,47,17.25,45348,10053,3020
1788569019,74480,45,16.64,45348,9556,3020
1788569024,74480,60,260.95,45506,8671,3020
1788569029,74486,63,491.23,45558,8701,3018
1788569034,74486,64,464.66,45539,8662,3018
1788569039,74486,61,486.50,45529,8783,3018
1788569044,74486,64,441.82,45515,8782,3018
1788569049,74486,65,436.57,45650,8718,3018
1788569054,74486,66,502.56,45529,8749,3018
1788569059,74486,67,513.95,45620,8705,3018
1788569065,74486,60,317.03,45363,9088,3018
1788569070,74486,55,90.73,45363,10684,3018
1788569075,74486,53,88.71,45363,10708,3018
1788569080,74486,51,87.74,45363,10263,3018
1788569085,74486,49,28.12,45363,10099,3018
1788569090,74486,47,16.95,45363,9938,3018
1788569095,74486,46,16.19,45363,8341,3018
1788569100,74486,62,557.91,45395,8818,3018
1788569105,74486,60,436.02,45481,8635,3018
1788569110,74486,63,405.98,45597,8618,3018
1788569115,74486,66,470.64,45547,8680,3018
1788569120,74490,66,521.13,45643,8635,3018
1788569125,74490,66,472.98,45511,8783,3015
1788569130,74490,68,516.31,45605,8747,3015
1788569135,74490,66,416.04,45606,8741,3015
1788569140,74490,56,100.80,45402,10645,3015
1788569145,74490,54,89.42,45402,10665,3015
1788569151,74490,52,88.31,45402,10315,3015
1788569156,74490,50,54.20,45402,10070,3015
1788569161,74490,48,16.69,45402,9841,3015
1788569166,74490,47,15.43,45402,9180,3015
1788569171,74490,62,551.32,45452,8692,3015
1788569176,74490,52,270.56,45457,8655,3013
1788569181,74490,54,255.40,45429,8712,3014
1788569186,74522,67,567.86,45473,8768,3014
1788569191,74522,61,343.88,45615,8680,3014
1788569196,74522,68,566.22,45471,8834,3014
1788569201,74522,70,546.71,45552,8774,3014
1788569206,74522,63,344.08,45625,8737,3014
1788569211,74522,64,512.16,45573,8708,3014
1788569216,74522,65,349.60,45550,8625,3012
1788569221,74522,73,579.73,45480,8823,3012
1788569226,74522,61,291.77,45431,8840,3012
1788569232,74522,56,91.77,45431,10557,3012
1788569237,74522,54,90.05,45431,10581,3012
1788569242,74522,53,88.03,45431,10215,3012
1788569247,74522,50,33.68,45431,9981,3012
1788569252,74522,48,16.50,45431,9804,3012
1788569257,74522,47,18.68,45431,8303,3012
1788569262,74522,65,562.06,45452,8679,3012
1788569267,74522,54,191.94,45431,8682,3012
1788569272,74522,67,560.28,45464,8771,3012
1788569277,74586,68,554.31,45550,8714,3012
1788569282,74586,64,474.00,45557,8714,3012
1788569287,74650,71,523.82,45451,8823,3012
1788569292,74650,65,350.28,45596,8683,3012
1788569297,74650,56,92.10,45438,10562,3008
1788569302,74650,54,89.64,45438,10628,3008
1788569307,74650,52,88.72,45438,10215,3007
1788569313,74650,50,55.11,45438,10091,3007
1788569318,74650,48,15.60,45438,9871,3005
1788569323,74650,47,15.40,45438,9235,3005
1788569328,74650,62,559.28,45457,8707,3005
1788569333,74650,66,558.11,45576,8590,3005
1788569338,74652,60,475.49,45562,8753,3005
1788569343,74652,65,358.67,45478,8883,3011
1788569348,74652,62,346.52,45603,8745,3011
1788569353,74652,70,496.86,45448,8834,3011
1788569358,74652,64,363.11,45539,8774,3011
1788569363,74652,56,108.75,45421,10533,3011
1788569368,74652,53,89.83,45421,10586,3011
1788569373,74652,52,88.14,45421,10289,3010
1788569378,74652,50,55.94,45421,10113,3010
1788569383,74652,48,15.77,45421,9956,3010
1788569388,74652,46,19.83,45421,9354,3010
1788569394,74652,60,551.03,45452,8777,3010
1788569399,74652,63,297.74,45493,8795,3010
1788569404,74652,66,559.97,45637,8638,3010
1788569409,74652,67,465.94,45647,8634,3010
1788569414,74652,70,565.62,45635,8674,3010
1788569419,74664,64,473.67,45656,8651,3010
1788569424,74664,73,571.35,45605,8776,3010
1788569429,74664,72,570.67,45610,8770,3010
1788569434,74664,74,403.08,45607,8736,3010
1788569439,74664,69,450.08,45679,8653,3009
1788569444,74664,77,579.44,45655,8677,3009
1788569449,74664,75,568.69,45596,8712,3009
1788569454,74666,78,571.15,45663,8660,3009
1788569459,74666,78,582.44,45643,8637,3009
1788569464,74666,75,536.65,45636,8669,3009
1788569469,74666,71,364.35,45646,8653,3009
