ts,vram_used_mib,gpu_temp_c,gpu_power_w,engine_rss_mib,mem_available_mib,swap_used_mib
1788566701,77076,47,144.60,41295,17366,4071
1788566706,77076,45,83.47,41295,16889,4071
1788566711,77076,44,83.56,41295,16800,4071
1788566717,77076,44,82.52,41295,16447,4071
1788566722,77076,42,29.49,41295,15442,4071
1788566727,77076,48,198.58,41422,15566,4071
1788566732,77092,46,152.33,41426,15505,4071
1788566737,77094,51,421.64,41665,15267,4071
1788566742,77094,58,428.42,41771,15147,4071
1788566747,77094,48,94.84,41880,16713,4071
1788566752,77094,47,85.18,41880,16748,4071
1788566757,77094,46,85.07,41880,16441,4071
1788566762,77094,44,52.46,41880,16297,4072
1788566767,77094,43,15.24,41880,16060,4072
1788566772,77094,42,15.16,41880,15569,4072
1788566777,77094,44,272.58,41991,14836,4072
1788566782,77094,55,423.75,42218,14622,4072
1788566787,77094,47,101.89,42436,16089,4072
1788566792,77094,45,84.46,42436,16110,4072
1788566798,77094,45,84.39,42436,16184,4072
1788566803,77094,44,80.40,42436,15689,4072
1788566808,77094,42,16.37,42436,15512,4072
1788566813,77094,41,15.10,42436,15122,4072
1788566818,77094,42,43.46,42453,14311,4072
1788566823,77094,53,429.04,42557,14267,4072
1788566828,77094,56,432.94,42778,14148,4072
1788566833,77094,48,108.04,42889,14109,4072
1788566838,77094,46,84.62,42889,15706,4072
1788566843,77094,45,84.38,42889,15697,4072
1788566848,77094,45,83.98,42889,15322,4072
1788566853,77094,43,17.08,42889,15153,4072
1788566858,77094,42,16.50,42889,14837,4073
1788566863,77094,41,14.94,42889,13774,4073
1788566868,77140,56,411.49,43505,13484,4073
1788566873,77140,56,398.99,44012,12987,4073
1788566879,77140,57,401.13,44236,12746,4073
1788566884,77140,59,405.08,44347,12626,4073
1788566889,77140,48,86.48,44345,14280,4073
1788566894,77140,47,84.95,44345,14286,4073
1788566899,77140,47,85.16,44345,13992,4073
1788566904,77140,45,50.09,44345,13789,4073
1788566909,77140,43,15.77,44345,13576,4073
1788566914,77140,42,15.02,44345,13042,4073
1788566919,77140,47,274.42,44685,12303,4073
1788566924,77140,54,267.25,44805,12161,4073
1788566929,77140,57,413.17,44910,12079,4073
1788566934,77140,60,410.83,45023,11990,4073
1788566939,77140,60,420.47,45517,11506,4073
1788566944,77140,62,428.48,45578,11416,4073
1788566949,77140,52,107.59,45353,13227,4073
1788566954,77140,50,87.27,45353,13245,4073
1788566960,77140,49,86.35,45353,13051,4073
1788566965,77140,48,85.11,45353,12853,4073
1788566970,77140,45,19.09,45353,12678,4073
1788566975,77140,44,15.23,45353,12112,4073
1788566980,77140,53,164.72,45353,11386,4073
1788566985,77140,56,408.46,45550,11361,4073
1788566990,77140,58,416.54,45562,11321,4073
1788566995,77140,60,424.03,45471,11436,4073
1788567000,77140,61,407.60,45471,11394,4073
1788567005,77140,55,359.34,45359,11632,4073
