ts,vram_used_mib,gpu_temp_c,gpu_power_w,engine_rss_mib,mem_available_mib,swap_used_mib
1788565223,89661,42,53.15,4054,49981,4085
1788565228,89661,42,82.03,4054,49814,4084
1788565233,89661,42,82.02,4054,49623,4082
1788565238,89661,41,81.41,4054,49461,4080
1788565243,89661,40,32.41,4054,48030,4080
1788565248,89663,45,211.76,4055,48714,4078
1788565253,89663,47,265.99,4055,48653,4080
1788565258,89663,49,261.21,4055,48630,4080
1788565263,89663,50,280.61,4055,48619,4080
1788565268,89663,52,322.46,4055,48615,4080
1788565273,89663,48,122.31,4055,48769,4080
1788565278,89663,46,84.62,4055,50231,4080
1788565283,89663,45,84.15,4055,50208,4080
1788565288,89663,44,83.43,4055,49788,4079
1788565293,89663,42,18.13,4055,49589,4080
1788565299,89663,42,15.49,4055,49279,4080
1788565304,89663,41,17.83,4055,48240,4080
1788565309,89663,47,290.48,4055,48430,4080
1788565314,89685,49,279.57,4055,48545,4080
1788565319,89685,51,313.53,4055,48539,4080
1788565324,89685,50,340.17,4055,48514,4080
1788565329,89685,46,84.94,4055,50109,4080
1788565334,89685,45,83.83,4055,50137,4080
1788565339,89685,45,83.86,4055,49901,4079
1788565344,89685,43,67.56,4055,49692,4079
1788565349,89685,42,15.11,4055,49498,4079
1788565354,89685,41,14.66,4055,49051,4079
1788565359,89703,41,27.99,4055,48422,4079
1788565364,89703,48,167.91,4055,48441,4079
1788565369,89703,51,316.03,4055,48503,4079
1788565374,89703,51,288.52,4055,48565,4079
1788565380,89703,53,338.55,4055,48582,4079
1788565385,89703,47,102.08,4055,50076,4079
1788565390,89703,46,85.24,4055,50185,4079
1788565395,89703,45,83.95,4055,50186,4079
1788565400,89703,44,65.02,4055,49648,4079
1788565405,89703,43,18.14,4055,49504,4079
1788565410,89703,42,16.82,4055,49157,4079
1788565415,89703,41,16.52,4009,48269,4079
1788565420,89703,49,200.92,4009,48625,4079
1788565425,89703,50,288.92,3445,49174,4642
1788565430,89703,51,286.89,3203,49772,5390
1788565435,89703,53,332.42,3196,49931,5401
1788565440,89703,48,129.77,3196,50009,5401
1788565445,89703,46,85.36,3196,51484,5401
1788565450,89703,46,84.57,3196,51487,5401
1788565456,89703,45,84.57,3196,51089,5400
1788565461,89703,43,29.66,3196,51032,5400
1788565466,89703,42,14.77,3196,50797,5400
1788565471,89703,41,14.94,3195,49389,5400
1788565476,89703,49,335.13,3196,49703,5399
1788565481,89703,51,318.27,3196,49767,5399
1788565486,89703,52,340.29,3197,49972,5398
1788565491,89705,53,341.59,3197,49930,5398
1788565496,89705,55,360.34,3198,49913,5397
1788565501,89705,55,340.73,3198,49807,5397
1788565506,89705,48,85.64,3198,51393,5397
1788565511,89705,47,85.70,3198,51421,5397
1788565516,89705,47,85.54,3198,51108,5397
1788565521,89705,45,47.60,3198,50948,5397
1788565526,89705,43,15.05,3198,50720,5396
1788565531,89705,43,15.03,3198,50287,5396
1788565537,89705,44,162.71,3199,49693,5395
1788565542,89705,51,343.20,3200,49755,5393
1788565547,89705,56,351.63,3201,49935,5392
1788565552,89705,54,362.05,3201,49871,5393
1788565557,89705,55,345.55,3202,49862,5392
1788565562,89705,48,85.63,3202,51454,5392
1788565567,89705,47,85.11,3202,51415,5391
1788565572,89705,46,84.22,3202,51080,5391
1788565577,89705,45,56.82,3202,50912,5391
1788565582,89705,43,14.82,3202,50711,5391
1788565587,89705,42,14.75,3202,50080,5391
1788565592,90803,45,251.69,3205,49613,5389
1788565597,91363,53,409.84,3206,49663,5389
1788565602,92023,54,397.80,3208,49727,5388
1788565607,92023,55,355.43,3208,49769,5388
1788565612,92023,49,104.57,3208,51405,5388
1788565618,92023,47,85.36,3208,51426,5388
1788565623,92023,47,85.09,3208,51239,5388
1788565628,92023,45,57.51,3208,50913,5389
1788565633,92023,43,15.24,3208,50772,5389
1788565638,92023,42,15.52,3208,50427,5389
1788565643,92023,42,14.94,3208,49574,5389
1788565648,92023,51,346.47,3208,49764,5389
1788565653,92023,53,345.30,3208,49777,5388
1788565658,92023,54,354.16,3209,49762,5388
1788565663,92023,49,131.34,3209,49882,5388
1788565668,92023,47,85.57,3209,51408,5388
1788565673,92023,46,84.15,3209,51426,5388
1788565678,92023,46,84.61,3209,50982,5387
1788565683,92023,44,20.51,3209,50775,5387
1788565688,92023,43,18.95,3209,50435,5387
1788565693,92023,42,14.77,3209,49574,5387
1788565699,92023,51,386.56,3209,49627,5387
1788565704,92023,53,398.66,3209,49659,5387
1788565709,92753,55,423.14,3210,49681,5387
1788565714,92753,46,85.24,3210,51405,5385
1788565719,92753,46,85.33,3210,51421,5385
1788565724,92753,45,84.32,3210,51043,5385
1788565729,92753,43,38.74,3210,50884,5385
1788565734,92753,42,14.79,3210,50690,5385
1788565739,92753,41,15.16,3210,49211,5385
1788565744,93593,57,492.88,3211,49673,5384
1788565749,93593,52,362.76,3212,49687,5382
1788565754,93593,53,354.18,3214,49766,5382
1788565759,93593,55,358.58,3214,49793,5381
1788565764,93593,56,349.10,3215,49782,5381
1788565769,93593,49,96.08,3215,51439,5381
1788565774,93593,48,85.34,3215,51444,5381
1788565780,93593,47,85.89,3215,51091,5381
1788565785,93593,45,64.33,3215,50940,5381
1788565790,93593,44,16.86,3215,50688,5381
1788565795,93593,43,15.16,3215,50111,5381
1788565800,93593,45,258.85,3215,49608,5381
1788565805,93593,58,437.39,3217,49508,5380
