ts,vram_used_mib,gpu_temp_c,gpu_power_w,engine_rss_mib,mem_available_mib,swap_used_mib
1788563630,91399,42,41.88,3356,51813,6829
1788563635,91399,41,81.38,3355,51438,6829
1788563640,91399,41,83.02,3354,51339,6829
1788563645,91399,41,82.34,3354,51031,6826
1788563650,91399,40,43.05,3283,49781,6826
1788563655,91527,42,163.68,3285,50009,6771
1788563660,91529,46,222.04,3278,49997,6776
1788563665,91529,47,240.71,3280,50071,6778
1788563670,91529,48,254.64,3280,50069,6777
1788563675,91529,52,341.89,3280,50097,6774
1788563680,91529,45,84.70,3280,51632,6774
1788563685,91529,44,84.21,3280,51638,6774
1788563690,91529,44,83.85,3280,51336,6773
1788563695,91529,43,59.35,3280,51218,6772
1788563700,91529,41,14.88,3280,51017,6772
1788563706,91529,41,14.89,3280,50514,6771
1788563711,91529,41,42.34,3290,49965,6761
1788563716,91529,48,268.34,3290,49986,6760
1788563721,91529,49,295.77,3293,50040,6757
1788563726,91529,53,325.02,3293,50058,6757
1788563731,91529,45,93.43,3293,51658,6755
1788563736,91529,44,84.48,3293,51669,6754
1788563741,91529,44,84.66,3293,51346,6754
1788563746,91529,43,52.16,3293,51091,6752
1788563751,91529,41,14.96,3293,50894,6752
1788563756,91529,41,14.83,3293,50426,6752
1788563761,91529,41,46.69,3294,49940,6751
1788563766,91529,49,308.89,3296,50027,6749
1788563771,91529,45,239.55,3298,50041,6746
1788563776,91529,51,312.89,3299,50058,6746
1788563781,91529,45,84.26,3299,51482,6747
1788563787,91529,44,84.73,3299,51545,6746
1788563792,91529,44,84.08,3299,51315,6746
1788563797,91529,42,59.28,3299,51162,6746
1788563802,91529,41,16.84,3299,50950,6746
1788563807,91529,41,14.91,3299,50349,6746
1788563812,91529,42,124.04,3299,49883,6746
1788563817,91569,48,221.15,3303,49764,6741
1788563822,91569,49,320.30,3305,50063,6738
1788563827,91569,50,354.20,3308,50010,6734
1788563832,91569,47,150.65,3308,50121,6734
1788563837,91569,45,85.08,3308,51586,6734
1788563842,91569,45,84.45,3308,51560,6735
1788563847,91569,44,84.40,3308,51169,6735
1788563852,91569,42,28.98,3308,50976,6735
1788563857,91569,41,14.95,3308,50779,6734
1788563862,91569,41,14.87,3308,49415,6735
1788563868,91569,49,349.54,3309,49793,6733
1788563873,91569,51,348.37,3310,49869,6733
1788563878,91569,53,370.34,3310,50025,6732
1788563883,91569,54,366.47,3311,50006,6731
1788563888,91569,48,102.49,3311,51627,6731
1788563893,91569,47,85.32,3311,51627,6731
1788563898,91569,46,84.73,3311,51598,6731
1788563903,91569,45,84.48,3311,51129,6731
1788563908,91569,43,18.16,3311,50938,6731
1788563913,91569,42,15.42,3311,50515,6730
1788563918,91569,42,15.33,3311,49670,6730
1788563923,91569,52,375.93,3315,49859,6727
1788563928,91569,53,384.88,3316,49832,6726
1788563933,91569,55,383.02,3316,49886,6725
1788563938,91569,48,105.52,3316,51519,6721
1788563943,91569,47,85.40,3316,51522,6721
1788563949,91569,46,85.59,3316,51492,6721
1788563954,91569,45,57.52,3316,51054,6721
1788563959,91569,43,15.63,3316,50900,6721
1788563964,91569,42,15.14,3316,50573,6721
1788563969,93295,43,20.41,3320,49750,6717
1788563974,93855,53,418.61,3321,49699,6717
1788563979,94513,55,419.55,3322,49741,6716
1788563984,94513,49,126.51,3323,49939,6716
1788563989,94513,46,86.06,3323,51489,6716
1788563994,94513,46,84.73,3323,51531,6716
1788563999,94513,45,85.17,3323,51071,6716
1788564004,94513,43,20.02,3323,50880,6716
1788564009,94513,42,16.17,3323,50534,6716
1788564014,94513,41,14.97,3323,49496,6716
1788564019,94513,51,357.91,3323,49721,6716
1788564024,94513,52,359.13,3323,49747,6716
1788564030,94513,48,132.81,3323,49911,6715
1788564035,94513,46,85.04,3323,51481,6714
1788564040,94513,45,84.29,3323,51527,6714
1788564045,94513,45,83.85,3323,51113,6714
1788564050,94513,43,19.83,3323,50891,6714
1788564055,94513,42,15.13,3323,50754,6714
1788564060,94513,41,14.79,3323,49275,6714
1788564065,94513,50,391.18,3324,49707,6713
1788564070,94513,52,359.88,3324,49753,6712
1788564075,95243,46,92.63,3325,51492,6712
1788564080,95243,45,84.80,3325,51530,6712
1788564085,95243,44,84.30,3325,51178,6712
1788564090,95243,43,52.16,3325,51013,6712
1788564095,95243,42,15.05,3325,50812,6711
1788564100,95243,41,14.71,3325,50110,6711
1788564106,96083,51,167.59,3326,49870,6710
1788564111,96083,53,403.14,3328,49839,6708
1788564116,96083,54,403.84,3329,49867,6708
1788564121,96083,56,433.98,3330,49879,6707
1788564126,96083,48,87.06,3330,51483,6706
1788564131,96083,47,85.52,3330,51527,6706
1788564136,96083,46,85.03,3330,51258,6706
1788564141,96083,45,55.01,3330,51041,6707
1788564146,96083,43,15.17,3330,50858,6706
1788564151,96083,43,15.24,3330,50359,6706
1788564156,96083,45,236.41,3330,49691,6705
1788564161,96083,60,487.79,3333,49731,6704
1788564166,96083,56,453.62,3333,49775,6703
1788564171,96083,57,430.52,3333,49845,6703
1788564176,96083,52,268.71,3334,49960,6702
1788564181,96083,49,87.08,3334,51495,6702
1788564186,96083,48,85.81,3334,51509,6702
1788564192,96083,47,85.51,3334,51085,6702
1788564197,96083,45,41.12,3334,50908,6702
1788564202,96083,44,15.93,3334,50734,6702
1788564207,96083,43,15.31,3334,49196,6702
1788564212,96509,52,440.47,3335,49717,6702
1788564217,96509,55,474.83,3335,49744,6701
1788564222,96509,58,473.80,3336,49779,6700
1788564227,96509,58,401.30,3336,49789,6700
1788564232,96509,50,95.74,3336,51490,6700
1788564237,96509,49,86.59,3336,51511,6700
1788564242,96509,48,86.36,3336,51210,6700
1788564247,96509,46,56.27,3336,51022,6700
1788564252,96509,45,15.65,3336,50780,6700
1788564257,96509,44,15.18,3336,50220,6700
1788564262,94235,59,575.96,3351,49662,6700
1788564268,94235,62,564.49,3352,49681,6699
1788564273,94237,57,509.30,3352,49728,6699
1788564278,94237,66,565.50,3354,49204,6698
1788564283,94237,67,542.13,3357,49837,6698
1788564288,94237,53,107.42,3357,51468,6698
1788564293,94237,50,87.63,3357,51490,6698
1788564298,94237,49,87.48,3357,51199,6698
1788564303,94237,47,54.91,3357,51004,6698
1788564308,94237,46,17.61,3357,50787,6698
1788564313,94237,45,15.59,3357,50210,6698
1788564318,94237,58,547.80,3357,49710,6698
1788564323,94237,56,534.02,3357,49752,6697
1788564328,94237,63,469.17,3358,49781,6697
1788564333,94237,59,452.85,3358,49784,6697
1788564338,94237,50,88.04,3358,51448,6697
1788564344,94237,49,86.82,3358,51484,6697
1788564349,94237,48,86.45,3358,51108,6697
1788564354,94237,46,52.53,3358,50958,6697
1788564359,94237,45,16.69,3358,50742,6697
1788564364,94237,44,15.13,3358,50428,6697
1788564369,94237,49,410.20,3359,49647,6696
1788564374,94237,54,357.88,3359,49716,6696
1788564379,94237,58,464.36,3359,49739,6696
1788564384,94237,51,128.15,3359,49904,6696
1788564389,94237,49,86.60,3359,51443,6695
1788564394,94237,48,86.09,3359,51434,6696
1788564399,94237,47,85.92,3359,50981,6696
1788564404,94237,45,31.37,3359,50802,6696
1788564409,94237,44,16.44,3359,50450,6696
1788564414,94237,43,14.99,3359,49330,6696
1788564419,94865,60,548.89,3359,49546,6695
1788564425,94865,57,440.68,3360,49622,6695
1788564430,94865,59,409.82,3360,49701,6695
1788564435,94865,67,515.82,3361,49759,6695
1788564440,94867,69,531.70,3362,49776,6694
1788564445,94867,64,518.79,3363,49818,6693
1788564450,94867,64,404.86,3363,49827,6693
1788564455,94867,55,101.34,3363,51459,6693
1788564460,94867,53,90.06,3363,51456,6693
1788564465,94867,52,89.39,3363,51121,6693
1788564470,94867,50,56.52,3363,50944,6693
1788564475,94867,48,15.93,3363,50715,6693
1788564480,94867,47,16.41,3363,49953,6693
1788564485,94867,45,15.71,3363,49808,6693
1788564490,94867,50,465.10,3363,49610,6693
1788564495,94867,64,566.77,3363,49668,6693
1788564501,94867,64,538.04,3363,49712,6693
1788564506,94867,68,562.45,3363,49763,6692
1788564511,94867,63,415.91,3364,49796,6692
1788564516,94867,65,525.42,3367,49807,6692
1788564521,94867,71,524.15,3367,49795,6692
1788564526,94867,66,419.33,3367,49803,6692
1788564531,94867,57,101.33,3367,51430,6692
1788564536,94867,55,91.30,3367,51447,6692
1788564541,94867,53,89.62,3367,51154,6692
1788564546,94867,51,56.27,3367,50959,6692
1788564551,94867,49,16.10,3367,50731,6692
1788564556,94867,47,15.97,3367,50037,6692
1788564561,94867,58,148.62,3367,49615,6692
1788564566,94867,60,518.73,3367,49679,6692
1788564571,94867,67,562.44,3367,49722,6691
1788564576,94867,69,540.87,3367,49747,6691
1788564582,94867,69,483.58,3368,49779,6691
1788564587,94867,70,511.63,3368,49795,6691
1788564592,94867,72,574.40,3368,49799,6691
1788564597,94867,73,572.78,3368,49825,6691
1788564602,94867,62,333.80,3368,49882,6691
1788564607,94867,57,94.07,3368,51428,6690
1788564612,94867,55,92.27,3368,51473,6691
1788564617,94867,54,90.33,3368,51040,6691
1788564622,94867,51,35.00,3368,50815,6691
1788564627,94867,49,16.45,3368,50644,6691
1788564632,94867,48,16.06,3368,49302,6691
1788564637,94867,49,104.81,3368,51143,6691
1788564642,94867,48,85.97,3368,51417,6691
1788564647,94867,47,85.55,3368,51012,6691
1788564652,94867,46,72.75,3368,50812,6691
1788564657,94867,44,17.07,3368,50450,6691
1788564663,94867,44,15.16,3368,49319,6691
1788564668,94867,46,101.25,3368,51284,6690
1788564673,94867,45,84.40,3368,51193,6690
1788564678,94867,44,84.50,3368,50957,6691
1788564683,94867,43,69.75,3368,50778,6691
1788564688,94867,42,15.72,3368,50175,6691
1788564693,94867,52,127.79,3368,49560,6690
1788564698,94867,43,83.08,3368,51295,6690
1788564703,94867,43,82.99,3368,51018,6690
1788564708,94867,43,82.67,3368,50851,6690
1788564713,94867,41,40.07,3368,50725,6690
1788564718,94867,41,16.43,3368,50314,6690
1788564723,94867,51,519.04,3368,49556,6690
1788564728,94867,43,84.11,3368,51376,6690
1788564733,94867,43,83.47,3368,51067,6690
1788564738,94867,43,82.86,3368,50906,6690
1788564744,94867,41,45.32,3368,50699,6690
1788564749,94867,40,15.52,3368,50110,6690
1788564754,94867,55,564.49,3369,49602,6689
1788564759,94867,45,103.96,3369,51318,6689
1788564764,94867,43,82.73,3369,51343,6689
1788564769,94867,43,83.36,3369,50918,6690
1788564774,94867,42,69.94,3369,50790,6690
1788564779,94867,41,16.11,3369,50350,6690
1788564784,94867,40,15.44,3369,49494,6690
1788564789,94867,46,192.03,3369,49705,6690
1788564794,94867,43,82.89,3369,51365,6689
1788564799,94867,43,82.51,3369,50998,6689
1788564804,94867,43,82.66,3369,50794,6690
1788564809,94867,41,21.85,3369,50470,6690
1788564814,94867,40,14.77,3369,48908,6689
1788564819,94867,57,563.02,3396,49589,6689
1788564825,94867,60,569.24,3403,49638,6690
1788564830,94867,64,577.70,3403,49699,6690
1788564835,94867,53,200.42,3403,49845,6690
1788564840,94867,49,87.22,3403,51396,6690
1788564845,94867,48,85.95,3403,50964,6689
1788564850,94867,47,85.58,3403,50782,6689
1788564855,94867,45,26.83,3403,50455,6689
1788564860,94867,44,16.81,3403,49403,6689
1788564865,94867,62,569.41,3405,49689,6689
1788564870,94867,56,534.24,3405,49721,6689
1788564875,94867,66,531.96,3405,49739,6689
1788564880,94867,53,105.88,3405,51416,6689
1788564885,94867,51,88.00,3405,51341,6689
1788564890,94867,50,86.77,3405,50879,6689
1788564895,94867,48,86.10,3405,50684,6689
1788564900,94867,46,15.47,3405,50308,6689
1788564906,94867,45,15.39,3405,49352,6689
1788564911,94867,58,565.57,3406,49451,6689
1788564916,94867,66,587.91,3406,49538,6689
1788564921,94867,67,574.89,3406,49608,6689
1788564926,94867,53,99.03,3406,51330,6689
